epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,615.758,0.4574,0.95741,0.39449,0.83788,0.97311,0.9808,0.9913,0.94878,0.97311,0.9808,0.9913,0.88546,0.29342,0.79081,0.29379,0.80342,0.0003962,0.0003962,0.0003962
83,622.417,0.39742,0.84999,0.36957,0.83536,0.97052,0.98136,0.9919,0.95109,0.97052,0.98136,0.9919,0.88362,0.28291,0.80744,0.28975,0.80084,0.0003764,0.0003764,0.0003764
84,628.059,0.48411,1.0239,0.39822,0.83569,0.97836,0.98025,0.99251,0.95056,0.97785,0.97832,0.9924,0.88102,0.28342,0.85799,0.288,0.80248,0.0003566,0.0003566,0.0003566
85,636.943,0.4685,1.0256,0.40069,0.83177,0.96984,0.98916,0.9932,0.95235,0.98005,0.97832,0.9932,0.87894,0.28397,0.87464,0.28546,0.79974,0.0003368,0.0003368,0.0003368
86,644.06,0.50338,1.05317,0.40637,0.83758,0.97074,0.98906,0.99347,0.955,0.96808,0.98635,0.99347,0.88572,0.28102,0.8203,0.28992,0.79765,0.000317,0.000317,0.000317
87,649.768,0.40802,0.83216,0.36299,0.83534,0.96801,0.99187,0.99344,0.95481,0.9783,0.97764,0.99339,0.88807,0.27718,0.79064,0.29051,0.7973,0.0002972,0.0002972,0.0002972
88,655.339,0.42502,0.9207,0.3768,0.83132,0.97579,0.98318,0.9928,0.95172,0.97579,0.98318,0.9928,0.89112,0.27326,0.78063,0.27959,0.79769,0.0002774,0.0002774,0.0002774
89,660.741,0.3926,0.88229,0.34833,0.82957,0.97576,0.98167,0.99209,0.95054,0.97576,0.98167,0.99209,0.88465,0.28239,0.79673,0.28766,0.80084,0.0002576,0.0002576,0.0002576
90,666.592,0.42192,0.92064,0.36338,0.83458,0.97393,0.98374,0.99267,0.95017,0.97393,0.98374,0.99267,0.88591,0.29323,0.81648,0.28665,0.80253,0.0002378,0.0002378,0.0002378
91,702.673,0.35522,0.76412,0.36705,0.81319,0.97818,0.99187,0.99392,0.95533,0.97551,0.98916,0.99379,0.88776,0.27853,0.80867,0.2749,0.79517,0.000218,0.000218,0.000218
92,709.216,0.37497,0.82143,0.37026,0.81197,0.97843,0.98645,0.99393,0.96204,0.9689,0.99458,0.9939,0.88519,0.26405,0.80569,0.27623,0.79168,0.0001982,0.0001982,0.0001982
93,714.516,0.40192,0.83299,0.37319,0.80892,0.97747,0.98103,0.99363,0.95866,0.9657,0.99178,0.99355,0.87857,0.26537,0.8097,0.28308,0.79179,0.0001784,0.0001784,0.0001784
94,719.991,0.37646,0.82898,0.36501,0.79956,0.97595,0.99187,0.99362,0.95825,0.97328,0.98916,0.99346,0.88291,0.26674,0.80605,0.28235,0.79436,0.0001586,0.0001586,0.0001586
95,729.662,0.3699,0.8602,0.37455,0.81101,0.97591,0.98916,0.99383,0.95748,0.97591,0.98916,0.99383,0.88913,0.26957,0.78383,0.27768,0.79512,0.0001388,0.0001388,0.0001388
96,734.925,0.36773,0.78955,0.3629,0.80979,0.97565,0.98916,0.99366,0.95607,0.97298,0.98645,0.99341,0.88498,0.2742,0.79689,0.27765,0.79769,0.000119,0.000119,0.000119
97,742.125,0.34928,0.77123,0.33945,0.79909,0.97435,0.98645,0.99391,0.95789,0.97272,0.98916,0.99381,0.88946,0.26719,0.80643,0.26852,0.79447,9.92e-05,9.92e-05,9.92e-05
98,747.709,0.32118,0.69141,0.35719,0.80984,0.97762,0.98374,0.99372,0.95605,0.97136,0.98645,0.99359,0.88714,0.26541,0.80925,0.26614,0.79633,7.94e-05,7.94e-05,7.94e-05
99,753.161,0.36096,0.80948,0.34939,0.81756,0.97337,0.99038,0.99416,0.95844,0.9707,0.98767,0.99398,0.88774,0.26003,0.81581,0.26004,0.79512,5.96e-05,5.96e-05,5.96e-05
100,763.123,0.31056,0.66809,0.32327,0.80315,0.97512,0.99187,0.99419,0.95831,0.9734,0.99158,0.99414,0.88935,0.26087,0.81373,0.25953,0.79631,3.98e-05,3.98e-05,3.98e-05
